country_name,country_id,year,v2x_libdem_x,v2x_polyarchy,libdem_0_100,polyarchy_0_100,key,v2x_libdem_y,v2x_libdem_2014,delta_libdem,delta_libdem_0_100,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Bangladesh,24,2024,0.068,0.201,6.800000000000001,20.1,bangladesh,0.068,0.108,-0.0399999999999999,-4.0,,,,23.7295608009814,61.63999999999999,60.9073604052856,12.2,47.07517104301527,Bangladesh,1200.0,12.9,87.0,0.1,Bangladesh,BGD,2022.0,30.9,Bangladesh,1200.0,20.6,79.1,0.3,Bangladesh,1200.0,13.8,49.5,63.3,20.7,4.2,24.9,11.7,0.1,0.0,0.0,Bangladesh,1200.0,14.6,44.145,Low Polarization
Bolivia,25,2024,0.314,0.576,31.4,57.6,bolivia,0.314,0.389,-0.075,-7.500000000000001,,,,,42.47,,,42.47,Bolivia,2067.0,8.5,90.5,0.7,Bolivia,BOL,2023.0,42.1,Bolivia,2067.0,10.5,89.3,0.2,Bolivia,2067.0,8.5,58.2,66.7,18.5,5.6,24.1,9.0,0.2,0.0,0.0,Bolivia,2067.0,32.8,49.24,Medium Polarization
Haiti,26,2024,0.079,0.218,7.9,21.8,haiti,0.079,0.246,-0.1669999999999999,-16.7,,,,1.05140995979309,9.59,,,4.466845975875854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,27,2024,0.382,0.541,38.2,54.1,honduras,0.382,0.267,0.1149999999999999,11.5,,,,25.3231382609304,30.14,,,27.24988295655824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,28,2024,0.147,0.199,14.7,19.9,mali,0.147,0.326,-0.179,-17.900000000000002,,,,5.12750941173932,27.4,,,14.036505647043592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,29,2024,0.199,0.313,19.9,31.3,pakistan,0.199,0.286,-0.0869999999999999,-8.699999999999996,,,,10.8564126844434,49.32,51.50753006808301,2.5,36.55129857319962,Pakistan,1995.0,23.3,75.9,0.8,Pakistan,PAK,2018.0,29.6,Pakistan,1995.0,34.2,64.6,1.2,Pakistan,1995.0,8.5,30.9,39.4,27.0,21.1,48.1,12.1,0.4,0.0,0.0,Pakistan,1995.0,12.4,49.195,Medium Polarization
Peru,30,2024,0.493,0.634,49.3,63.4,peru,0.493,0.686,-0.193,-19.300000000000004,34.67,31.83,34.5,71.2404708862305,75.33999999999999,,18.0,47.56178438822429,Peru,1400.0,4.2,95.6,0.2,Peru,PER,2024.0,40.1,Peru,1400.0,9.0,90.4,0.5,Peru,1400.0,1.6,34.0,35.6,43.9,17.7,61.6,2.4,0.4,0.0,0.0,Peru,1400.0,39.4,64.57,High Polarization
Senegal,31,2024,0.462,0.617,46.2,61.7,senegal,0.462,0.584,-0.1219999999999999,-12.199999999999994,,,,15.3302400879779,42.47,,,26.186144052786737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,32,2024,0.072,0.161,7.199999999999999,16.1,south sudan,0.072,0.067,0.0049999999999999,0.499999999999999,,,,,10.96,,,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,33,2024,0.038,0.135,3.8,13.5,sudan,0.038,0.062,-0.024,-2.4,,,,15.8645696640015,6.8500000000000005,,,12.2587417984009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,34,2024,0.124,0.174,12.4,17.4,vietnam,0.124,0.118,0.006,0.6000000000000005,43.5,44.83,45.33,37.5923642016718,,,,41.67963657562692,Vietnam,1200.0,27.7,72.3,0.0,Viet Nam,VNM,2022.0,36.1,Vietnam,1200.0,30.8,69.2,0.0,Vietnam,1200.0,6.8,75.2,82.0,6.9,1.0,7.9,8.5,1.6,0.0,0.2,Vietnam,1200.0,68.8,35.215,Low Polarization
Afghanistan,36,2024,0.016,0.081,1.6,8.1,afghanistan,0.016,0.201,-0.185,-18.5,,,,10.85435962677,10.96,,,10.896615776062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,37,2024,0.553,0.712,55.3,71.2,argentina,0.553,0.604,-0.0509999999999999,-5.099999999999993,33.33,29.5,34.33,107.822574129434,63.01,84.21541994393974,,71.50172677443445,Argentina,1003.0,19.2,76.2,4.0,Argentina,ARG,2024.0,42.4,Argentina,1003.0,31.6,66.6,1.8,Argentina,1003.0,5.9,38.3,44.2,33.8,10.5,44.3,10.8,0.7,0.0,22.7,Argentina,1003.0,28.0,51.86,High Polarization
Ethiopia,38,2024,0.098,0.263,9.8,26.3,ethiopia,0.098,0.104,-0.0059999999999999,-0.5999999999999992,,,,5.9192507771213,16.439999999999998,43.19752227384594,,30.478302347856264,Ethiopia,1230.0,11.9,87.8,0.3,Ethiopia,ETH,2021.0,31.1,Ethiopia,1230.0,47.8,51.9,0.3,Ethiopia,1230.0,18.2,34.4,52.6,17.2,7.4,24.6,22.4,0.2,0.2,0.0,Ethiopia,1230.0,19.7,40.125,Low Polarization
India,39,2024,0.291,0.398,29.1,39.8,india,0.291,0.492,-0.201,-20.1,,,,34.4184659748952,65.75,58.58529781475298,,54.11059849559304,India,1692.0,16.9,81.9,1.2,India,IND,2022.0,25.5,India,1692.0,33.4,65.3,1.3,India,1692.0,11.7,42.0,53.7,23.7,10.6,34.3,12.0,0.0,0.0,8.1,India,1692.0,47.7,43.45,Low Polarization
Kenya,40,2024,0.432,0.549,43.2,54.900000000000006,kenya,0.432,0.422,0.01,1.0000000000000009,,,,10.4185962462804,52.05,68.19802220386025,,52.379997413055634,Kenya,1266.0,9.5,89.4,0.6,Kenya,KEN,2022.0,37.7,Kenya,1266.0,25.0,73.8,1.2,Kenya,1266.0,20.9,50.0,70.9,17.5,8.5,26.0,2.6,0.5,0.0,0.0,Kenya,1266.0,60.0,46.19,Medium Polarization
North Korea,41,2024,0.014,0.083,1.4,8.3,north korea,0.014,0.014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,42,2024,0.631,0.729,63.1,72.89999999999999,south korea,0.631,0.602,0.029,2.9000000000000026,52.5,54.5,54.5,,,,,53.3,South Korea,1245.0,32.9,67.1,0.0,"Korea, Rep.",KOR,2021.0,32.9,South Korea,1245.0,17.5,82.5,0.0,South Korea,1245.0,3.5,54.4,57.9,32.9,9.2,42.1,0.0,0.0,0.0,0.0,South Korea,1245.0,15.7,49.14999999999999,Medium Polarization
Kosovo,43,2024,0.473,0.651,47.3,65.10000000000001,kosovo,0.473,0.407,0.066,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,44,2024,0.207,0.348,20.7,34.8,lebanon,0.207,0.309,-0.102,-10.2,,,,54.4012561547071,46.58,73.66950948947388,,65.05537264460864,Lebanon,1200.0,9.9,90.1,0.0,Lebanon,LBN,2022.0,35.3,Lebanon,1200.0,22.6,77.2,0.2,Lebanon,1200.0,8.6,35.8,44.4,38.2,14.6,52.8,2.7,0.2,0.0,0.2,Lebanon,1200.0,55.2,56.80500000000001,High Polarization
