Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check,reason
Denmark,48,NA,48.83,81.2308197021484,98.63,NA,67,69.79840537331322,NA,TRUE,Math_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
China,NA,NA,NA,76.8757843123403,93.15,67.23936378639746,43,69.38948421521337,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Norway,46,44.67,46.33,95.0573806762695,86.3,NA,71,69.06434516906738,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
New Zealand,50,NA,50.67,76.3811416625977,93.15,NA,NA,68.45704722086592,NA,TRUE,Math_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Ecuador,NA,NA,NA,67.8851161961618,87.67,77.04294693676056,14,68.22259493883799,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Saudi Arabia,30.33,31.33,31.67,83.884129573915,95.89,75.26975379537316,82,68.17902095423652,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Serbia,40,39.83,41.17,73.2060012817383,89.03999999999999,83.24367274391935,42.7,67.50236928982848,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Italy,46.83,45.17,46.17,75.9496536254883,65.75,82.50587173577226,44.3,66.99129673813215,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
United Arab Emirates,36.17,38.5,38.5,63.7384451086316,78.08,83.35278667458992,62.4,66.2253814361307,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Hungary,45.33,45.33,47.5,56.5924415588379,54.790000000000006,86.93548549023771,59,66.08306042992078,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Spain,45.67,45.5,47.33,93.7303466796875,80.82000000000001,NA,58,65.72258666992188,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Belarus,NA,NA,NA,70.1107509145358,49.32,72.95954445200616,44,65.37657389064377,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Lebanon,NA,NA,NA,54.4012561547071,46.58,73.66950948947388,NA,65.05537264460864,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Ukraine,37.83,40,41.67,85.2667604023424,100,75.09064145446449,23.8,64.96427064213715,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Ireland,52.67,NA,50.5,76.6049499511719,91.78,NA,44.5,64.6258954412287,NA,TRUE,Math_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Austria,46.67,47.83,48.5,91.6818237304688,78.08,NA,52.3,64.3454559326172,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Sweden,47.67,46.83,48.83,81.3998184204102,79.45,NA,64.3,64.19745460510255,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Latvia,45.67,NA,48.83,85.7360610961914,78.08,NA,51,63.74619848077949,NA,TRUE,Math_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Costa Rica,35.83,30.67,35,55.0202903747559,72.6,81.74424643657511,NA,63.1874912564927,NA,TRUE,IT,FALSE,NA,NA in v_MLI or v_MLI_check
Croatia,45.83,43.83,47,81.1775207519531,91.78,NA,50.3,63.00104685465494,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Andorra,NA,NA,NA,67.6767676767677,54.790000000000006,NA,NA,62.52206060606062,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Brazil,35,29.67,33.83,60.3906211853027,86.3,80.09063660454908,37,61.84984781961504,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Switzerland,47.17,51.17,50.33,74.0060882568359,82.19,NA,55.8,61.75068873087564,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Lithuania,45.17,45.83,47.33,77.0064163208008,83.56,NA,56.3,61.61743741353354,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Slovenia,44.67,47.33,49.83,80.0806884765625,78.08,NA,52.7,61.08100545247396,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Fiji,NA,NA,NA,75.0089752283697,39.73,NA,NA,60.89738513702183,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Malta,40.83,44.33,44.17,80.5250091552734,73.97,NA,65,60.875418955485024,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Russia,NA,NA,NA,60.3891235376867,NA,NA,NA,60.3891235376867,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Malaysia,31.33,34.67,36,38.5013945445142,69.86,81.93268591279914,62.8,60.04728354679679,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
South Africa,NA,NA,NA,23.493768799339,83.56,79.45707012517734,12,59.817191159962384,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Georgia,28.83,31.67,30.67,78.2652247393707,NA,78.72561571753958,30,59.63503333102383,NA,TRUE,EParticipation,FALSE,NA,NA in v_MLI or v_MLI_check
Poland,48,48,49.83,76.8794097900391,75.33999999999999,NA,45.7,59.54568578084311,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Colombia,34.67,30.33,35.17,59.2901382446289,73.97,79.13165923935358,25.8,58.998684432435766,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Uruguay,38.33,34.67,39.17,79.9536903496537,86.3,NA,53,58.940922587413425,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Iran,NA,NA,NA,58.6677703857422,NA,NA,NA,58.6677703857422,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Belgium,46.33,48.17,48.33,82.1475601196289,50.68,NA,56.7,58.05772336324056,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Kazakhstan,31,37.5,37.17,53.4564204414133,84.93,77.26421070357966,21.8,57.98064734764386,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Portugal,46,45.17,47.33,77.6778182983398,64.38000000000001,NA,49.7,57.641121241251625,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Mexico,35.83,32.5,34.83,47.474681854248,73.97,76.1527352378011,37.8,57.50029637325764,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Tunisia,NA,NA,NA,38.1219482421875,45.21,75.83239971495578,18.5,56.563002829747255,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Venezuela,NA,NA,NA,78.2699203491211,21.92,NA,NA,55.72995220947266,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Israel,45.5,42.83,44,55.8351593017578,69.86,NA,68,55.54628982543945,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Czech Republic,48,47.67,49.5,66.7282867431641,58.9,NA,53.7,55.5462383524577,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Thailand,29.67,32.17,34.83,44.9845744019321,75.33999999999999,69.62329396967561,NA,55.479448609066736,NA,TRUE,IT,FALSE,NA,NA in v_MLI or v_MLI_check
Ghana,NA,NA,NA,22.0958254757285,53.42,68.4740978585423,NA,55.45540456119415,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Taiwan,52.5,57.83,56.17,NA,NA,NA,NA,54.3,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Macao SAR China,51.67,58.5,57.17,NA,NA,NA,NA,54.136,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
India,NA,NA,NA,34.4184659748952,65.75,58.58529781475298,NA,54.11059849559304,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Liechtenstein,NA,NA,NA,46.0189590454102,65.75,NA,NA,53.91137542724612,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Libya,NA,NA,NA,58.543701171875,1.37,65.2958733859513,NA,53.90293004640272,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Slovak Republic,NA,NA,NA,53.417610168457,NA,NA,NA,53.417610168457,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Indonesia,26.33,27.5,30.33,44.8813034886441,79.45,66.29209457147545,NA,53.372259279874214,NA,TRUE,IT,FALSE,NA,NA in v_MLI or v_MLI_check
South Korea,52.5,54.5,54.5,NA,NA,NA,NA,53.3,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Kyrgyz Republic,NA,NA,NA,53.1743590503791,NA,NA,NA,53.1743590503791,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Monaco,NA,NA,NA,77.4806900024414,15.07,NA,NA,52.51641400146484,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Mongolia,29.67,37.33,35.33,69.044059753418,78.08,NA,NA,52.496217926025395,NA,TRUE,Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Kenya,NA,NA,NA,10.4185962462804,52.05,68.19802220386025,NA,52.379997413055634,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Morocco,23.17,27.33,27.5,48.1839617510572,43.84,78.44870141777577,30.8,52.28807482976889,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Bulgaria,34,36.17,36.67,79.8532333374023,67.12,NA,38,52.05330833435058,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Oman,NA,NA,NA,43.8433613964625,65.75,NA,50,51.86144059848394,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Azerbaijan,27.5,32.67,30,41.3413783372226,49.32,79.0879777909832,17.2,51.74689786697667,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Hong Kong SAR China,49.83,NA,53.33,NA,NA,NA,NA,50.705,NA,TRUE,Math_0_100|Enrollment|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Philippines,24.33,25.67,26,47.4134996154186,72.6,73.04828204200797,4,50.224337759115976,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Moldova,35,35.67,36,74.7109378669046,NA,NA,NA,50.10035170008922,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Nicaragua,NA,NA,NA,30.3635101318359,23.29,63.88617713610124,NA,49.90461134494751,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Slovakia,41,43.83,43.67,NA,69.86,NA,48,49.58000000000001,NA,TRUE,Enrollment|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Nigeria,NA,NA,NA,9.74153350922586,36.99,67.56091688104499,NA,49.514764275079806,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Rwanda,NA,NA,NA,9.41173924647801,75.33999999999999,57.949767145104524,NA,49.424104223097714,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Albania,26.33,28,29.17,81.9986267089844,72.6,NA,32.8,49.412990010579435,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Uzbekistan,22.5,27.17,25.67,56.517478700865,69.86,64.94859344356954,16.5,49.11005918255756,NA,FALSE,,FALSE,NA,NA in v_MLI or v_MLI_check
Romania,38,37.83,37.83,55.1682891845703,68.49,NA,44,48.34540562947591,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Maldives,NA,NA,NA,48.4968654322788,47.95,NA,NA,48.27811925936728,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Jordan,23.67,26.83,29,35.9184001120427,61.63999999999999,63.32364822220323,NA,48.025799228541885,NA,TRUE,IT,FALSE,NA,NA in v_MLI or v_MLI_check
Peru,34.67,31.83,34.5,71.2404708862305,75.33999999999999,NA,18,47.56178438822429,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Kuwait,NA,NA,NA,51.8967176944636,30.14,NA,58.2,47.48145044048441,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Bangladesh,NA,NA,NA,23.7295608009814,61.63999999999999,60.9073604052856,12.2,47.07517104301527,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Zambia,NA,NA,NA,3.96159738763825,41.099999999999994,64.5238108566079,NA,46.944252231982915,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Montenegro,34.17,34.17,33.83,55.1743011474609,50.68,NA,55.7,45.7327419535319,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Bosnia and Herzegovina,NA,NA,NA,45.5027618408203,54.790000000000006,NA,36,45.441183646065845,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Barbados,NA,NA,NA,53.5815662047086,32.879999999999995,NA,NA,45.30093972282516,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
West Bank and Gaza,NA,NA,NA,44.4904623709098,NA,NA,NA,44.4904623709098,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Zimbabwe,NA,NA,NA,7.74912957845971,27.4,62.29625822642223,NA,44.339804195904385,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Egypt,NA,NA,NA,37.5781274463676,58.9,NA,39.8,44.30491176272898,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Syria,NA,NA,NA,43.7606582641602,NA,NA,NA,43.7606582641602,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Panama,31.83,NA,31.17,53.6949637061742,52.05,NA,NA,43.53832123539141,NA,TRUE,Math_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Luxembourg,NA,NA,NA,21.5371704101562,63.01,NA,56.3,43.31878731863837,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Middle income,NA,NA,NA,43.2768402099609,NA,NA,NA,43.2768402099609,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Turkey,42.67,42.17,45.83,NA,NA,NA,NA,43.202,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Dominican Republic,25.17,23.17,26.67,57.6509476207267,65.75,NA,NA,42.98028428621801,NA,TRUE,Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Bolivia,NA,NA,NA,NA,42.47,NA,NA,42.47,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
North Macedonia,26.33,31.33,29.83,55.0082015991211,57.53,NA,NA,42.02346047973633,NA,TRUE,Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Uganda,NA,NA,NA,4.61899995803833,43.84,55.19508845011037,NA,41.776746728846,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Vietnam,43.5,44.83,45.33,37.5923642016718,NA,NA,NA,41.679636575626915,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Angola,NA,NA,NA,9.9549065722902,21.92,57.48568984273899,NA,41.04540295836789,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Cuba,NA,NA,NA,43.1040700506779,5.48,54.30309608438544,20,40.97979858847447,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Cambodia,21.33,22.67,24.5,21.4437426836662,31.51,61.72681372418795,NA,40.68476321358345,NA,TRUE,IT,FALSE,NA,NA in v_MLI or v_MLI_check
Mauritius,NA,NA,NA,45.7771156388358,41.099999999999994,NA,30.3,40.01876384521535,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Malawi,NA,NA,NA,2.70813684546823,45.21,51.95471096609499,NA,39.55246909732036,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
San Marino,NA,NA,NA,57.5487465181059,12.33,NA,NA,39.46124791086354,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Iraq,NA,NA,NA,15.5580997467041,9.59,62.518730000000005,10,39.06694261600749,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Tonga,NA,NA,NA,42.8611738148984,32.879999999999995,NA,NA,38.86870428893904,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Brunei,38.17,40.33,40.83,36.4182725443167,NA,NA,NA,38.11560220411876,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Qatar,36.5,35.67,38.67,35.0854901088778,47.95,NA,32.2,37.44970586055278,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Solomon Islands,NA,NA,NA,NA,36.99,NA,NA,36.99,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Paraguay,28.83,22.83,28,37.6179261040957,60.27,NA,35.7,36.84281485935726,NA,TRUE,Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Palau,NA,NA,NA,41.130604288499,30.14,NA,NA,36.7343625730994,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Pakistan,NA,NA,NA,10.8564126844434,49.32,51.50753006808301,2.5,36.55129857319962,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA,NA in v_MLI or v_MLI_check
Marshall Islands,NA,NA,NA,37.6853053112652,32.879999999999995,NA,NA,35.76318318675912,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Algeria,NA,NA,NA,54.4283410150344,5.48,NA,NA,34.84900460902064,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Virgin Islands (U.S.),NA,NA,NA,33.5513496398926,NA,NA,NA,33.5513496398926,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Cayman Islands,NA,NA,NA,33.0195503234863,NA,NA,NA,33.0195503234863,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Tajikistan,NA,NA,NA,35.6398418742497,27.4,NA,NA,32.34390512454982,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Jamaica,34.83,NA,33.67,26.2334142821948,43.84,NA,24,32.04911298605313,NA,TRUE,Math_0_100|Media_Access,FALSE,NA,NA in v_MLI or v_MLI_check
Timor-Leste,NA,NA,NA,30.9611108169641,32.879999999999995,NA,NA,31.728666490178465,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Guatemala,29,24,28.67,27.2948879201171,46.58,NA,NA,31.47146637603513,NA,TRUE,Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Ethiopia,NA,NA,NA,5.9192507771213,16.439999999999998,43.19752227384594,NA,30.478302347856264,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA,NA in v_MLI or v_MLI_check
British Virgin Islands,NA,NA,NA,29.5605306799337,NA,NA,NA,29.5605306799337,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Sri Lanka,NA,NA,NA,20.7412633848006,41.099999999999994,NA,NA,28.884758030880356,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Antigua and Barbuda,NA,NA,NA,25.1156271899089,34.25,NA,NA,28.76937631394534,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Honduras,NA,NA,NA,25.3231382609304,30.14,NA,NA,27.24988295655824,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
Togo,NA,NA,NA,14.9029897765252,45.21,NA,NA,27.02579386591512,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA,NA in v_MLI or v_MLI_check
