Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI
South Korea,52.5,54.5,54.5,,,,,53.3
Kyrgyz Republic,,,,53.1743590503791,,,,53.1743590503791
Monaco,,,,77.4806900024414,15.07,,,52.51641400146484
Mongolia,29.67,37.33,35.33,69.044059753418,78.08,,,52.496217926025395
Kenya,,,,10.4185962462804,52.05,68.19802220386025,,52.379997413055634
Morocco,23.17,27.33,27.5,48.1839617510572,43.84,78.44870141777577,30.8,52.28807482976889
Bulgaria,34.0,36.17,36.67,79.8532333374023,67.12,,38.0,52.05330833435058
Oman,,,,43.8433613964625,65.75,,50.0,51.86144059848394
Azerbaijan,27.5,32.67,30.0,41.3413783372226,49.32,79.0879777909832,17.2,51.74689786697667
Hong Kong SAR China,49.83,,53.33,,,,,50.705
Philippines,24.33,25.67,26.0,47.4134996154186,72.6,73.04828204200797,4.0,50.224337759115976
Moldova,35.0,35.67,36.0,74.7109378669046,,,,50.10035170008922
Nicaragua,,,,30.3635101318359,23.29,63.88617713610124,,49.90461134494751
Slovakia,41.0,43.83,43.67,,69.86,,48.0,49.58000000000001
Nigeria,,,,9.74153350922586,36.99,67.56091688104499,,49.514764275079806
Rwanda,,,,9.41173924647801,75.33999999999999,57.94976714510452,,49.424104223097714
Albania,26.33,28.0,29.17,81.9986267089844,72.6,,32.8,49.412990010579435
Uzbekistan,22.5,27.17,25.67,56.517478700865,69.86,64.94859344356954,16.5,49.11005918255756
Romania,38.0,37.83,37.83,55.1682891845703,68.49,,44.0,48.34540562947591
Maldives,,,,48.4968654322788,47.949999999999996,,,48.27811925936728
Jordan,23.67,26.83,29.0,35.9184001120427,61.63999999999999,63.32364822220323,,48.025799228541885
Peru,34.67,31.83,34.5,71.2404708862305,75.33999999999999,,18.0,47.56178438822429
Kuwait,,,,51.8967176944636,30.14,,58.2,47.48145044048441
Bangladesh,,,,23.7295608009814,61.63999999999999,60.9073604052856,12.2,47.07517104301527
Zambia,,,,3.96159738763825,41.099999999999994,64.5238108566079,,46.944252231982915
Montenegro,34.17,34.17,33.83,55.1743011474609,50.68,,55.7,45.7327419535319
Bosnia and Herzegovina,,,,45.5027618408203,54.790000000000006,,36.0,45.441183646065845
Barbados,,,,53.5815662047086,32.879999999999995,,,45.30093972282516
West Bank and Gaza,,,,44.4904623709098,,,,44.4904623709098
Zimbabwe,,,,7.74912957845971,27.400000000000002,62.29625822642223,,44.339804195904385
Egypt,,,,37.5781274463676,58.9,,39.8,44.30491176272898
Syria,,,,43.7606582641602,,,,43.7606582641602
Panama,31.83,,31.17,53.6949637061742,52.05,,,43.53832123539141
Luxembourg,,,,21.5371704101562,63.01,,56.3,43.31878731863837
Middle income,,,,43.2768402099609,,,,43.2768402099609
Turkey,42.67,42.17,45.83,,,,,43.202
Dominican Republic,25.17,23.17,26.67,57.6509476207267,65.75,,,42.98028428621801
Bolivia,,,,,42.47,,,42.47
North Macedonia,26.33,31.33,29.83,55.0082015991211,57.53,,,42.02346047973633
Uganda,,,,4.61899995803833,43.84,55.19508845011037,,41.776746728846
Vietnam,43.5,44.83,45.33,37.5923642016718,,,,41.679636575626915
Angola,,,,9.9549065722902,21.92,57.48568984273899,,41.04540295836789
Cuba,,,,43.1040700506779,5.48,54.30309608438544,20.0,40.97979858847447
Cambodia,21.33,22.67,24.5,21.4437426836662,31.509999999999998,61.72681372418795,,40.68476321358345
Mauritius,,,,45.7771156388358,41.099999999999994,,30.3,40.01876384521535
Malawi,,,,2.70813684546823,45.21,51.95471096609499,,39.55246909732036
San Marino,,,,57.5487465181059,12.33,,,39.46124791086354
Iraq,,,,15.5580997467041,9.59,62.518730000000005,10.0,39.06694261600749
Tonga,,,,42.8611738148984,32.879999999999995,,,38.868704288939036
Brunei,38.17,40.33,40.83,36.4182725443167,,,,38.11560220411876
Qatar,36.5,35.67,38.67,35.0854901088778,47.949999999999996,,32.2,37.44970586055278
Solomon Islands,,,,,36.99,,,36.99
Paraguay,28.83,22.83,28.0,37.6179261040957,60.27,,35.7,36.84281485935726
Palau,,,,41.130604288499,30.14,,,36.7343625730994
Pakistan,,,,10.8564126844434,49.32,51.50753006808301,2.5,36.55129857319962
Marshall Islands,,,,37.6853053112652,32.879999999999995,,,35.76318318675912
Algeria,,,,54.4283410150344,5.48,,,34.84900460902064
Virgin Islands (U.S.),,,,33.5513496398926,,,,33.5513496398926
Cayman Islands,,,,33.0195503234863,,,,33.0195503234863
Tajikistan,,,,35.6398418742497,27.400000000000002,,,32.34390512454982
Jamaica,34.83,,33.67,26.2334142821948,43.84,,24.0,32.04911298605313
Timor-Leste,,,,30.9611108169641,32.879999999999995,,,31.728666490178462
Guatemala,29.0,24.0,28.67,27.2948879201171,46.58,,,31.47146637603513
Ethiopia,,,,5.9192507771213,16.439999999999998,43.19752227384594,,30.478302347856264
British Virgin Islands,,,,29.5605306799337,,,,29.5605306799337
Sri Lanka,,,,20.7412633848006,41.099999999999994,,,28.884758030880356
Antigua and Barbuda,,,,25.1156271899089,34.25,,,28.76937631394534
Honduras,,,,25.3231382609304,30.14,,,27.24988295655824
Togo,,,,14.9029897765252,45.21,,,27.02579386591512
Cameroon,,,,16.6614294830602,42.47,,,26.98485768983612
Guinea,,,,10.8547201156616,50.68,,,26.784832069396963
"Korea, Dem. People's Rep.",,,,26.7206192016602,,,,26.7206192016602
Namibia,,,,26.1092654658031,27.400000000000002,,,26.625559279481863
Senegal,,,,15.3302400879779,42.47,,,26.186144052786737
Palestinian Territories,24.83,27.5,28.0,,,,,25.997999999999998
El Salvador,27.33,23.83,28.83,32.8347079463918,38.36,,0.0,25.822843653264616
Turks and Caicos Islands,,,,25.2537080405933,,,,25.2537080405933
Bhutan,,,,13.011259392916,49.32,,19.5,25.239111168392576
Guyana,,,,26.4315792489043,21.92,,,24.62694754934258
Cape Verde,,,,24.2905954414767,,,,24.2905954414767
Belize,,,,24.8098643151325,23.29,,,24.2019185890795
Botswana,,,,21.4087908549348,27.400000000000002,,,23.805274512960878
St. Vincent and the Grenadines,,,,23.6186294555664,,,,23.6186294555664
Nauru,,,,,23.29,,,23.29
Curacao,,,,23.0842005676443,,,,23.0842005676443
Small states,,,,22.8753509521484,,,,22.8753509521484
Vanuatu,,,,4.87792015075684,46.58,,,21.558752090454107
Nepal,,,,21.2915596292014,21.92,,,21.54293577752084
Bahamas,,,,14.8425798416138,31.509999999999998,,,21.50954790496828
Benin,,,,10.2350101470947,36.99,,,20.937006088256823
Samoa,,,,14.6106638814429,30.14,,,20.822398328865738
Seychelles,,,,14.5342502593994,30.14,,,20.77655015563964
Trinidad and Tobago,,,,11.8308000564575,32.879999999999995,,,20.2504800338745
American Samoa,,,,19.6201190948486,,,,19.6201190948486
Eswatini,,,,6.43545771863543,38.36,,,19.205274631181258
Myanmar,,,,20.3723297119141,16.439999999999998,,,18.79939782714846
Bermuda,,,,17.3357105255127,,,,17.3357105255127
Dominica,,,,6.9480299949646,30.14,,,16.22481799697876
Kiribati,,,,4.96087980270386,32.879999999999995,,,16.128527881622315
Madagascar,,,,6.1466638463036,30.14,,,15.74399830778216
Chad,,,,4.39665967267065,31.509999999999998,,,15.24199580360239
Gambia,,,,13.4765901565552,17.810000000000002,,,15.20995409393312
St. Lucia,,,,15.0396404266357,,,,15.0396404266357
Laos,,,,14.8841695785522,,,,14.8841695785522
Burkina Faso,,,,10.0419678526515,21.92,,,14.7931807115909
Suriname,,,,4.93785087797966,28.77,,,14.470710526787796
Tuvalu,,,,19.3509615384615,6.8500000000000005,,,14.3505769230769
Sierra Leone,,,,1.98783004283905,32.879999999999995,,,14.34469802570343
Sao Tome and Principe,,,,12.8210802078247,16.439999999999998,,,14.26864812469482
Aruba,,,,14.0655418559377,,,,14.0655418559377
Mali,,,,5.12750941173932,27.400000000000002,,,14.036505647043592
Turkmenistan,,,,20.4250351701637,4.109999999999999,,,13.899021102098219
Micronesia,,,,13.3582201004028,,,,13.3582201004028
Liberia,,,,10.838520055325,16.439999999999998,,,13.079112033194999
IDA only,,,,12.8071804046631,,,,12.8071804046631
Mozambique,,,,7.4630510423433,20.549999999999997,,,12.697830625405977
Burundi,,,,6.02545976638794,21.92,,,12.383275859832764
Sudan,,,,15.8645696640015,6.8500000000000005,,,12.2587417984009
Lesotho,,,,9.93844298033582,20.549999999999997,,6.3,11.93076127728678
Cote d'Ivoire,,,,11.5724272130065,,,,11.5724272130065
Yemen,,,,8.80690002441406,15.07,,,11.312140014648437
Comoros,,,,18.8190281456697,0.0,,,11.291416887401821
South Sudan,,,,,10.96,,,10.96
Afghanistan,,,,10.85435962677,10.96,,,10.896615776062
Equatorial Guinea,,,,1.84452998638153,23.29,,,10.422717991828918
Congo (Brazzaville),,,,10.3812103271484,,,,10.3812103271484
Guinea-Bissau,,,,2.62031006813049,21.92,,,10.340186040878294
Africa Western and Central,,,,10.1902599334717,,,,10.1902599334717
Gabon,,,,7.65526008605957,12.33,,,9.525156051635744
Niger,,,,4.15170730347346,20.549999999999997,,6.0,9.36501741577434
Papua New Guinea,,,,1.94981002807617,19.18,,,8.841886016845702
Africa Eastern and Southern,,,,8.66186046600342,,,,8.66186046600342
Mauritania,,,,5.97194330025359,12.33,,,8.515165980152155
Sint Maarten (Dutch part),,,,7.65284309533989,,,,7.65284309533989
Djibouti,,,,5.16012001037598,9.59,,,6.932072006225589
Congo (Kinshasa),,,,6.37987995147705,,,,6.37987995147705
Central African Republic,,,,2.77519989013672,8.219999999999999,,,4.953119934082032
Haiti,,,,1.05140995979309,9.59,,,4.466845975875854
Tanzania,,,,4.01880979537964,,,,4.01880979537964
Eritrea,,,,3.20262002944946,1.37,,,2.469572017669676
"Somalia, Fed. Rep.",,,,2.41033005714417,,,,2.41033005714417
French Polynesia,,,,1.45677995681763,,,,1.45677995681763
Channel Islands,,,,,,,,
Faroe Islands,,,,,,,,
Gibraltar,,,,,,,,
Greenland,,,,,,,,
Guam,,,,,,,,
Isle of Man,,,,,,,,
Kosovo,,,,,,,,
New Caledonia,,,,,,,,
Northern Mariana Islands,,,,,,,,
Not classified,,,,,,,,
St. Martin (French part),,,,,,,,
