country_name,country_id,year,v2x_libdem,v2x_polyarchy,libdem_0_100,polyarchy_0_100
The Gambia,117,2024,0.507,0.634,50.7,63.4
Georgia,118,2024,0.328,0.48,32.800000000000004,48.0
Guinea-Bissau,119,2024,0.149,0.28,14.899999999999999,28.000000000000004
Jamaica,120,2024,0.684,0.803,68.4,80.30000000000001
Kazakhstan,121,2024,0.134,0.272,13.4,27.200000000000003
Kyrgyzstan,122,2024,0.183,0.333,18.3,33.300000000000004
Laos,123,2024,0.102,0.134,10.2,13.4
Libya,124,2024,0.106,0.196,10.6,19.6
Madagascar,125,2024,0.221,0.417,22.1,41.699999999999996
Moldova,126,2024,0.518,0.632,51.800000000000004,63.2
Namibia,127,2024,0.515,0.623,51.5,62.3
Palestine/West Bank,128,2024,0.117,0.214,11.700000000000001,21.4
Rwanda,129,2024,0.09,0.202,9.0,20.200000000000003
Somalia,130,2024,0.126,0.169,12.6,16.900000000000002
Sri Lanka,131,2024,0.486,0.664,48.6,66.4
Eswatini,132,2024,0.097,0.13,9.700000000000001,13.0
Tajikistan,133,2024,0.05,0.174,5.0,17.4
Togo,134,2024,0.173,0.355,17.299999999999997,35.5
Trinidad and Tobago,135,2024,0.627,0.755,62.7,75.5
Turkmenistan,136,2024,0.033,0.149,3.3000000000000003,14.899999999999999
Palestine/Gaza,138,2024,0.053,0.095,5.3,9.5
Somaliland,139,2024,0.271,0.419,27.1,41.9
Uzbekistan,140,2024,0.078,0.215,7.8,21.5
Austria,144,2024,0.762,0.839,76.2,83.89999999999999
Bahrain,146,2024,0.052,0.124,5.2,12.4
Barbados,147,2024,0.67,0.786,67.0,78.60000000000001
Belgium,148,2024,0.805,0.886,80.5,88.6
Bosnia and Herzegovina,150,2024,0.342,0.508,34.2,50.8
Bulgaria,152,2024,0.508,0.646,50.8,64.60000000000001
Comoros,153,2024,0.107,0.282,10.7,28.199999999999996
Croatia,154,2024,0.619,0.723,61.9,72.3
Cuba,155,2024,0.055,0.178,5.5,17.8
Cyprus,156,2024,0.651,0.774,65.10000000000001,77.4
Czechia,157,2024,0.817,0.87,81.69999999999999,87.0
Denmark,158,2024,0.883,0.916,88.3,91.60000000000001
Equatorial Guinea,160,2024,0.049,0.178,4.9,17.8
Estonia,161,2024,0.85,0.895,85.0,89.5
Fiji,162,2024,0.414,0.516,41.4,51.6
Finland,163,2024,0.802,0.847,80.2,84.7
Greece,164,2024,0.576,0.75,57.599999999999994,75.0
Guyana,166,2024,0.315,0.491,31.5,49.1
Hong Kong,167,2024,0.133,0.169,13.3,16.900000000000002
Iceland,168,2024,0.759,0.844,75.9,84.39999999999999
Israel,169,2024,0.617,0.715,61.7,71.5
Kuwait,171,2024,0.266,0.292,26.6,29.2
Lithuania,173,2024,0.734,0.799,73.4,79.9
Luxembourg,174,2024,0.783,0.867,78.3,86.7
North Macedonia,176,2024,0.374,0.563,37.4,56.3
Malaysia,177,2024,0.362,0.517,36.199999999999996,51.7
Malta,178,2024,0.637,0.785,63.7,78.5
Mauritius,180,2024,0.368,0.492,36.8,49.2
Montenegro,183,2024,0.478,0.615,47.8,61.5
New Zealand,185,2024,0.809,0.863,80.9,86.3
Norway,186,2024,0.839,0.884,83.89999999999999,88.4
Oman,187,2024,0.14,0.174,14.000000000000002,17.4
Paraguay,189,2024,0.388,0.579,38.800000000000004,57.9
Romania,190,2024,0.445,0.629,44.5,62.9
Sao Tome and Principe,196,2024,0.565,0.673,56.49999999999999,67.30000000000001
Saudi Arabia,197,2024,0.047,0.015,4.7,1.5
Serbia,198,2024,0.22,0.315,22.0,31.5
Seychelles,199,2024,0.659,0.741,65.9,74.1
Singapore,200,2024,0.343,0.414,34.300000000000004,41.4
Slovakia,201,2024,0.584,0.752,58.4,75.2
Slovenia,202,2024,0.619,0.716,61.9,71.6
Solomon Islands,203,2024,0.519,0.665,51.9,66.5
Vanuatu,206,2024,0.686,0.796,68.60000000000001,79.60000000000001
United Arab Emirates,207,2024,0.078,0.103,7.8,10.299999999999999
Hungary,210,2024,0.318,0.436,31.8,43.6
Zanzibar,236,2024,0.261,0.299,26.1,29.9
