Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Montenegro,34.17,34.17,33.83,55.1743011474609,50.68,NA,55.7,45.7327419535319,NA,TRUE,Media_Access,FALSE,NA
Bosnia and Herzegovina,NA,NA,NA,45.5027618408203,54.790000000000006,NA,36,45.441183646065845,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Barbados,NA,NA,NA,53.5815662047086,32.879999999999995,NA,NA,45.30093972282516,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
West Bank and Gaza,NA,NA,NA,44.4904623709098,NA,NA,NA,44.4904623709098,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Zimbabwe,NA,NA,NA,7.74912957845971,27.4,62.29625822642223,NA,44.339804195904385,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Egypt,NA,NA,NA,37.5781274463676,58.9,NA,39.8,44.30491176272898,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Syria,NA,NA,NA,43.7606582641602,NA,NA,NA,43.7606582641602,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Panama,31.83,NA,31.17,53.6949637061742,52.05,NA,NA,43.53832123539141,NA,TRUE,Math_0_100|Media_Access|IT,FALSE,NA
Luxembourg,NA,NA,NA,21.5371704101562,63.01,NA,56.3,43.31878731863837,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Middle income,NA,NA,NA,43.2768402099609,NA,NA,NA,43.2768402099609,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Turkey,42.67,42.17,45.83,NA,NA,NA,NA,43.202,NA,TRUE,Enrollment|EParticipation|Media_Access|IT,FALSE,NA
Dominican Republic,25.17,23.17,26.67,57.6509476207267,65.75,NA,NA,42.98028428621801,NA,TRUE,Media_Access|IT,FALSE,NA
Bolivia,NA,NA,NA,NA,42.47,NA,NA,42.47,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA
North Macedonia,26.33,31.33,29.83,55.0082015991211,57.53,NA,NA,42.02346047973633,NA,TRUE,Media_Access|IT,FALSE,NA
Uganda,NA,NA,NA,4.61899995803833,43.84,55.19508845011037,NA,41.776746728846,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Vietnam,43.5,44.83,45.33,37.5923642016718,NA,NA,NA,41.679636575626915,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA
Angola,NA,NA,NA,9.9549065722902,21.92,57.48568984273899,NA,41.04540295836789,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Cuba,NA,NA,NA,43.1040700506779,5.48,54.30309608438544,20,40.97979858847447,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Cambodia,21.33,22.67,24.5,21.4437426836662,31.51,61.72681372418795,NA,40.68476321358345,NA,TRUE,IT,FALSE,NA
Mauritius,NA,NA,NA,45.7771156388358,41.099999999999994,NA,30.3,40.01876384521535,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Malawi,NA,NA,NA,2.70813684546823,45.21,51.95471096609499,NA,39.55246909732036,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
San Marino,NA,NA,NA,57.5487465181059,12.33,NA,NA,39.46124791086354,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Iraq,NA,NA,NA,15.5580997467041,9.59,62.518730000000005,10,39.06694261600749,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Tonga,NA,NA,NA,42.8611738148984,32.879999999999995,NA,NA,38.86870428893904,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Brunei,38.17,40.33,40.83,36.4182725443167,NA,NA,NA,38.11560220411876,NA,TRUE,EParticipation|Media_Access|IT,FALSE,NA
Qatar,36.5,35.67,38.67,35.0854901088778,47.95,NA,32.2,37.44970586055278,NA,TRUE,Media_Access,FALSE,NA
Solomon Islands,NA,NA,NA,NA,36.99,NA,NA,36.99,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA
Paraguay,28.83,22.83,28,37.6179261040957,60.27,NA,35.7,36.84281485935726,NA,TRUE,Media_Access,FALSE,NA
Palau,NA,NA,NA,41.130604288499,30.14,NA,NA,36.7343625730994,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Pakistan,NA,NA,NA,10.8564126844434,49.32,51.50753006808301,2.5,36.55129857319962,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Marshall Islands,NA,NA,NA,37.6853053112652,32.879999999999995,NA,NA,35.76318318675912,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Algeria,NA,NA,NA,54.4283410150344,5.48,NA,NA,34.84900460902064,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Virgin Islands (U.S.),NA,NA,NA,33.5513496398926,NA,NA,NA,33.5513496398926,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
