Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i),vMLI
Ireland,IRL,86.92,NA,NA,NA,44.5,91.78,83.5617142857143
Israel,ISR,51.055,44.805,NA,NA,68,69.86,49.53107692307692
Italy,ITA,68.01,46.443333333333335,26.450000000000003,82.50587173577226,44.3,65.75,60.25146793394307
Jamaica,JAM,75.83,NA,NA,NA,24,43.84,69.55942857142858
Japan,JPN,63.14,53.916666666666664,22.1,92.03580264328386,57,98.63,64.01855066082096
Jordan,JOR,35.25,25.084999999999997,22.85,63.32364822220323,NA,61.63999999999999,38.60743510881527
Kazakhstan,KAZ,39.34,33.11166666666667,21.3,77.26421070357966,21.8,84.93,45.534152675894916
Kenya,KEN,49.41,NA,17.25,68.19802220386025,NA,52.05,51.69926201636576
Kosovo,XKX,52.73,NA,NA,NA,NA,NA,52.73
Kuwait,KWT,44.06,NA,NA,NA,58.2,30.14,44.47657142857143
Kyrgyzstan,KGZ,37.46,NA,14.3,NA,NA,46.58,32.38
Laos,LAO,33.22,NA,NA,NA,NA,NA,33.22
Latvia,LVA,81.82,NA,21.7,NA,51,78.08,66.2391111111111
Lebanon,LBN,42.62,NA,16.25,73.66950948947388,NA,46.58,50.388025928908164
Lesotho,LSO,52.07,NA,NA,NA,6.3,20.549999999999997,46.34571428571429
Liberia,LBR,66.61,NA,NA,NA,NA,16.439999999999998,63.474374999999995
Libya,LBY,40.42,NA,16.95,65.2958733859513,NA,1.37,45.03338559177287
Liechtenstein,LIE,83.42,NA,NA,NA,NA,65.75,82.315625
Lithuania,LTU,82.27,45.63999999999999,24.65,NA,56.3,83.56,58.93093333333332
Luxembourg,LUX,83.04,NA,NA,NA,56.3,63.01,79.60342857142858
Macao SAR China,MAC,NA,53.725,NA,NA,NA,NA,53.725
Madagascar,MDG,50.8,NA,NA,NA,NA,30.14,49.50875
Malawi,MWI,59.2,NA,NA,51.95471096609499,NA,45.21,55.5313644588136
Malaysia,MYS,56.09,32.665,17.25,81.93268591279914,62.8,69.86,52.115871478199786
Maldives,MDV,52.46,NA,18.05,NA,NA,47.95,44.05238095238096
Mali,MLI,48.23,NA,NA,NA,NA,27.4,46.928124999999994
Malta,MLT,62.96,41.97,NA,NA,65,73.97,53.705230769230766
Mauritania,MRT,67.52,NA,NA,NA,NA,12.33,64.07062499999999
Mauritius,MUS,67.31,NA,NA,NA,30.3,41.099999999999994,62.64000000000001
Mexico,MEX,45.55,35.10833333333333,11.8,76.1527352378011,37.8,73.97,47.02908380945027
Moldova,MDA,73.36,35.278333333333336,NA,NA,NA,NA,54.31916666666667
Mongolia,MNG,52.57,31.889999999999997,26.55,NA,NA,78.08,41.04805555555556
Montenegro,MNE,72.83,34.11333333333334,28.450000000000003,NA,55.7,50.68,50.15013333333333
Morocco,MAR,48.04,24.584999999999997,22.3,78.44870141777577,30.8,43.84,45.43047535444394
Morocco / Western Sahara,MAR,48.04,24.584999999999997,NA,NA,NA,NA,36.3125
Mozambique,MOZ,52.63,NA,NA,NA,NA,20.549999999999997,50.625
Myanmar,MMR,25.32,NA,28.2,NA,NA,16.439999999999998,25.582857142857144
Namibia,NAM,75.35,NA,NA,NA,NA,27.4,72.353125
Nepal,NPL,55.2,NA,NA,NA,NA,21.92,53.12
Netherlands,NLD,88.64,NA,61.7,NA,78.3,93.15,82.16444444444444
New Zealand,NZL,81.37,NA,53.3,NA,NA,93.15,75.24761904761905
Nicaragua,NIC,22.83,NA,7.5,63.88617713610124,NA,23.29,35.87514072242583
Niger,NER,57.05,NA,NA,NA,6,20.549999999999997,50.58857142857143
Nigeria,NGA,46.81,NA,19.8,67.56091688104499,NA,36.99,50.22840182128544
North Korea,PRK,12.64,NA,NA,NA,NA,NA,12.64
North Macedonia,MKD,70.44,27.74666666666666,21,NA,NA,57.53,45.42583333333333
Northern Cyprus,CTU,54.84,NA,NA,NA,NA,NA,54.84
Norway,NOR,92.31,45.833333333333336,69.85,NA,71,86.3,69.712
OECS,CSS,68.08,NA,NA,NA,NA,NA,68.08
Oman,OMN,42.29,NA,NA,NA,50,65.75,44.291428571428575
Pakistan,PAK,29.62,NA,28.75,51.50753006808301,2.5,49.32,36.71326073860107
Palestine,PSE,27.41,25.80333333333333,NA,NA,NA,NA,26.606666666666666
Palestinian Territories,PSE,27.41,25.80333333333333,NA,NA,NA,NA,26.606666666666666
Panama,PAN,66.75,NA,NA,NA,NA,52.05,65.83125
Papua New Guinea,PNG,58.35,NA,NA,NA,NA,19.18,55.901875
Paraguay,PRY,56.84,27.691666666666663,NA,NA,35.7,60.27,42.51676923076923
Peru,PER,42.88,34.16833333333333,6.6,NA,18,75.33999999999999,34.428399999999996
Philippines,PHL,49.57,24.831666666666667,16.099999999999998,73.04828204200797,4,72.6,43.76457051050199
Poland,POL,74.79,48.305,24.950000000000003,NA,45.7,75.33999999999999,56.40173333333333
Portugal,PRT,84.26,46.083333333333336,26.05,NA,49.7,64.38000000000001,59.315466666666666
Qatar,QAT,58.25,36.723333333333336,NA,NA,32.2,47.95,46.79538461538461
Romania,ROU,66.42,37.94333333333333,11.95,NA,44,68.49,46.92506666666666
Russia,RUS,24.57,NA,22.5,NA,NA,NA,24.0525
Rwanda,RWA,35.84,NA,NA,57.949767145104524,NA,75.33999999999999,46.92323120399322
Samoa,WSM,69.28,NA,NA,NA,NA,30.14,66.83375000000001
Saudi Arabia,SAU,27.94,30.72,NA,75.26975379537316,82,95.89,45.32582049871477
